sira,score,mahkeme,daire,esas,kararno,tarih,sinyaller,kesit,konu
1,47.8,Anayasa,2,2013/2803,,2016-01-21,gebe×126 | travma×32 | illiyet×9 | TCK 87/88 | cenin/düşük | obstetrik komp.,"…zetle hamileliğinin 9. ayında olan eşini Hastaneye götürdüğünü, eşiyle Dr. S.E.nin ilgilendiğini, hastaneye gittikten 4,5 saat sonra kendisine eşinin ölü doğum yaptığının söylendiğini, doktorun kendisine doğum kanalı açılmadığı için beklediğini, beklerken de bebeğin kalbinin durduğunu söylediğini, anında müdahale olsaydı veya sezaryen ameliyatı yapılsaydı bebeği kaybetmeyeceklerini düşündüğünü, bu nedenle…",ANAYASA MAHKEMESİNİN 21/01/2016TARİHLİ VE 2013/2803 SAYILI KARARI (BİREYSEL BAŞVURU)
2,47.8,A.İ.H.M.,2,2009/13423,,2013-04-09,gebe×64 | travma×12 | illiyet×9 | TCK 87/88 | cenin/düşük | obstetrik komp.,"…M 2002-I), ve Öneryıldız /Türkiye ((BD), no 48939/99, AİHM 2004-XII) davalarına atıf yapmaktadırlar. 75. Ayrıca, başvuranlara göre, Türk Ceza hukuku, düşük yapmaya neden olma fiili dışında, henüz doğmamış bir bebeğin ölümüne sebebiyet verilmesi durumu için hiçbir hüküm içermemektedir. Bu nedenle, medeni hukuk bakımından, henüz doğmamış bir çocuk, anne rahminde bulunduğu andan itibaren, canlı olarak doğmak…",MEHMET ŞENTÜRK VE BEKİR ŞENTÜRK - TÜRKİYE DAVASI
3,45,Yargıtay,3,2021/4383,2717,2023-05-09,gebe×10 | travma×190 | illiyet×161 | TCK 87/88 | cenin/düşük | aile içi,"…al düzenlemeler şöyledir: Anayasa; “Kanunsuz emir Madde 137 – Kamu hizmetlerinde herhangi bir sıfat ve suretle çalışmakta olan kimse, üstünden aldığı emri, yönetmelik, Cumhurbaşkanlığı kararnamesi, kanun veya Anayasa hükümlerine aykırı görürse, yerine getirmez ve bu aykırılığı o emri verene bildirir. Ancak, üstü emrinde ısrar eder ve bu emrini yazı ile yenilerse, emir yerine getirilir; bu halde, emri…",YARGITAY KARARI
4,45,Yargıtay,3,2021/4197,2716,2023-05-09,gebe×10 | travma×199 | illiyet×162 | TCK 87/88 | cenin/düşük | aile içi,"…olan soruşturmadan dönemin Başsavcısı Turan Çolakkadı'nın haberi yokken FETÖ/PDY örgüt üyeliğinden hakkında yakalama kararı olan ve şu an firari olan Emre Uslu, operasyondan haberdar olduğunu 4 ay öncesinden \""Bakan çocuklarının adı yolsuzluklara karışmışsa kim güler kim ağlar\"" sözleriyle ima etmiştir. Belirtmemiz gereken önemli nokta, Türkiye Cumhuriyeti Hükümetini cebren ortadan kaldırmaya ve enge…",YARGITAY KARARI
5,44.6,Yargıtay,CG,2014/269,108,2017-02-28,gebe×16 | travma×146 | illiyet×8 | TCK 87/88 | cenin/düşük | künt/batın,"…n ...'nın ince üst aramasının yapılması amacıyla katılanı ayrı bir odaya aldığı, yandaki odada ise diğer katılan ....'ün bulunduğu, sanığın olay günü emrinde görevli olarak bulunan erler .... ve ...'dan kameralarda gözüken copu katılan ....'ün odasına girerken istediği, zaten sanık hakkında katılan ....'e yönelik eyleminden dolayı işkence suçundan mahkûmiyet kararı verildiği, sanığın olayımızdaki kat…",YARGITAY KARARI
6,44,Yargıtay,3,2021/6496,9381,2024-07-17,gebe×27 | travma×590 | illiyet×127 | TCK 87/88 | cenin/düşük | trafik/iş kaz,"…arşı suç ve TBMM'ne karşı suç yönünden tipik eylemde hukuka aykırılık ve kusurluluğu etkileyen haller bağlamında hukuka aykırı ve fakat bağlayıcı bir emrin yerine getirilmesi sorunu; Konu ile ilgili yasal düzenlemeler şöyledir: T.C. 1982 Anayasası Kanunsuz emir MADDE 137- Kamu hizmetlerinde herhangi bir sıfat ve suretle çalışmakta olan kimse, üstünden aldığı emri, yönetmelik, tüzük, kanun veya Anayas…",YARGITAY KARARI
7,44,Yargıtay,CG,2019/656,324,2021-06-30,gebe×16 | travma×148 | illiyet×130 | TCK 87/88 | cenin/düşük | trafik/iş kaz,"…iletildiği ayrıca sanık ...'ın da olay yerine intikal ettiği, saat 17:44' de ise İstihbarat Şube Müdürü sanık ...'ın aranarak İl Jandarma Komutanının emri ile (1) istihbarat unsuru ile beraber Kırıkhan İlçe Jandarma Komutanlığına destek verme ve olay ile ilgili araştırma yapmak üzere Kırıkhan İlçe Jandarma Komutanlığına gitmesi hususundaki İl Jandarma Komutanı emrinin telefon ile bildirildiğinin, pol…",YARGITAY KARARI
8,42,Anayasa,GK,2016/22169,,2017-06-20,gebe×4 | travma×41 | illiyet×27 | TCK 87/88 | cenin/düşük | aile içi,"…arının ""Yurtta Sulh Konseyi"" tarafından yapılacağı, siyasi partilerin tüm faaliyetlerinin sonlandırıldığı, polis teşkilatının sıkıyönetim komutanları emrine alındığı belirtilmiştir. Anılan direktifin ve ekindeki sıkıyönetim komutanlıklarına ilişkin atama listesinin, darbe teşebbüsünde bulunanlar tarafından ilgili askeri birimlere ve bakanlıklara gönderildiği anlaşılmıştır. 14. Teşebbüste bulunan grup…",ANAYASA MAHKEMESİNİN 20/6/2017 TARİHLİ VE 2016/22169 SAYILI KARARI (BİREYSEL BAŞVURU) 
9,41.4,Danıştay,12,2013/725,8623,2013-11-26,gebe×6 | travma×9 | illiyet×15 | TCK 87/88 | cenin/düşük | trafik/iş kaz,"…hukuk düzeni korumaz.&gt; hükmü, 4. maddesinde; &lt;Kanunun takdir yetkisi tanıdığı veya durumun gereklerini ya da haklı sebepleri göz önünde tutmayı emrettiği konularda hâkim, hukuka ve hakkaniyete göre karar verir.&gt; hükmü, &lt;Genel nitelikli hükümler&gt; başlıklı 5. maddesinde; &lt;Bu Kanun ve Borçlar Kanununun genel nitelikli hükümleri, uygun düştüğü ölçüde tüm özel hukuk ilişkilerine uygulanı…",İPTAL DAVASI - GEÇİCİ PERSONEL OLAN DAVACININ DÖNER SERMAYE EK ÖDEMESİNDEN YARARLANDIRILMASINA STATÜ BAĞLAMINDA HUKUKİ BİR ENGELİN BULUNMADIĞI - STATÜ DIŞINDAKİ KOŞULLARIN TAŞINMASI HALİNDE BU ÖDEMEDE
10,41,A.İ.H.M.,4,1993/23145,,2003-11-13,gebe×36 | travma×65 | illiyet×23 | TCK 87/88 | cenin/düşük,"…sıdır. Gül'ün ifadesine (par. 323) rağmen, bu tip bir kaydın mutlak suretle tutulması gerekirdi. Savcıyı konudan bilgilendiren kişi ve gözaltına alma emrini isteyen kişi hakkında herhangi bir belge getirilememiştir. Cumhuriyet Savcılığı ile jandarma arasında gözaltına alma, talep, talimatlar veya herhangi bir konuda herhangi bir yazışma sunulamamıştır. Gözaltına alınma ile ilgili olarak yapılan tek y…",ELÇİ VE DİĞERLERİ - TÜRKİYE DAVASI
